method,accuracy
logreg_ovr,0.4020552344251766
logreg_multinomial,0.3930635838150289
rf5,0.3911368015414258
rf_best_fast,0.38599871547848424
rf_best_slow,0.38486209108402825
rf6,0.3815028901734104
rf4,0.37315350032113037
rf2,0.37122671804752727
ma,0.3699421965317919
rf3,0.3692999357739242
rf1,0.36801541425818884
rf,0.3641025641025641
momentum,0.35324341682723187
random,0.33590237636480413
