method,accuracy
rf_best_fast,0.39961513790891595
logreg_multinomial,0.3970493906350224
logreg_ovr,0.39255933290570877
rf_best_slow,0.38486209108402825
rf1,0.3720333547145606
rf6,0.3720333547145606
ma,0.3701090442591405
rf5,0.36754329698524696
rf,0.3641025641025641
rf2,0.35471456061577933
rf4,0.35471456061577933
momentum,0.3527902501603592
random,0.3521488133418858
rf3,0.3264913406029506
