l2_regularization,learning_rate,max_depth,max_iter,min_samples_leaf,random_state,class_weight,val_acc,val_macro_f1,val_bal_acc
0.0,0.03,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5099550417469493,0.27080345188774935,0.3308942174190401
1.0,0.03,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5305073859987155,0.2705020054608262,0.3388626721960055
1.0,0.03,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5099550417469493,0.2697738818810258,0.33040639423618146
0.0,0.03,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5260115606936416,0.2645594212909605,0.33389265658769207
1.0,0.03,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5311496467565832,0.26318378649636087,0.33594993169461257
0.0,0.03,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5362877328195247,0.25031550543163583,0.33436526698938046
0.0,0.07,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5369299935773925,0.24873334060957397,0.33414113201347245
1.0,0.07,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5414258188824663,0.24869841249135063,0.3365305528426095
0.0,0.03,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5375722543352601,0.24757281553398058,0.334177642688281
1.0,0.03,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5369299935773925,0.2473544216128962,0.3337836316559721
0.0,0.03,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5407835581245986,0.2470209868247353,0.335648718627442
1.0,0.03,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5401412973667309,0.24539795716266302,0.3347780404517993
1.0,0.03,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5427103403982017,0.24397317906357505,0.335735938572818
0.0,0.03,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.542068079640334,0.23951640209677413,0.3340087808172915
1.0,0.03,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.542068079640334,0.23786757606561082,0.33352095763443285
