l2_regularization,learning_rate,max_depth,max_iter,min_samples_leaf,random_state,class_weight,val_acc,val_macro_f1,val_bal_acc
1.0,0.03,3,200,50,42,balanced,0.294987146529563,0.2801936017318006,0.33351602847740724
0.0,0.03,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.480719794344473,0.27767071452600633,0.347308623231168
0.0,0.07,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.44922879177377895,0.2764658306193122,0.3307825164850231
0.0,0.03,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4633676092544987,0.27076310459063174,0.3379099792468066
1.0,0.03,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4787917737789203,0.26698899253342323,0.34460578764997124
0.0,0.07,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4697943444730077,0.26513539140160164,0.3387018728320248
1.0,0.07,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4556555269922879,0.2641486506786268,0.3325771259608726
1.0,0.03,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4717223650385604,0.2605782826985721,0.3392787950105951
1.0,0.07,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.47429305912596403,0.25890899612329515,0.34056188239289437
1.0,0.03,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4794344473007712,0.25374032406942,0.3408406967396809
0.0,0.03,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4749357326478149,0.25288820965337294,0.33941156296498964
0.0,0.03,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.47429305912596403,0.25210107879017324,0.3389623266666968
1.0,0.03,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.48264781491002573,0.24458427647215011,0.34268898500743455
1.0,0.03,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4755784061696658,0.2218413485741192,0.33390595201022705
0.0,0.03,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.47429305912596403,0.2214260011798669,0.3330074794136412
