l2_regularization,learning_rate,max_depth,max_iter,min_samples_leaf,random_state,class_weight,val_acc,val_macro_f1,val_bal_acc
0.0,0.07,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.36480411046885036,0.3543719835927042,0.35528001267284876
1.0,0.03,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.363519588953115,0.3535907736567942,0.35540009200675265
0.0,0.03,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3596660244059088,0.3509008075247853,0.3513003893822415
1.0,0.07,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3583815028901734,0.3479278150723985,0.34902208240001625
1.0,0.03,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3551701991008349,0.3442353194523858,0.3492046345527638
1.0,0.07,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3596660244059088,0.34354462609159714,0.3466817507470434
0.0,0.03,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.35581245985870263,0.3428443269981549,0.3451585684357215
0.0,0.07,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3519588953114965,0.3419994085488764,0.343777994642487
1.0,0.03,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.35452793834296725,0.3418735293390796,0.3443103020284351
0.0,0.07,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3622350674373796,0.34179648802307083,0.3471596714645792
1.0,0.03,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.35773924213230573,0.33998386863148244,0.34399068475470324
1.0,0.07,3,200,20,42,balanced,0.3455362877328195,0.33968785574823684,0.34203604786377545
0.0,0.07,3,200,50,42,balanced,0.3474630700064226,0.33915270912110485,0.34756444661893693
0.0,0.03,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.34938985228002567,0.33665494980398925,0.34165417697407285
1.0,0.07,5,200,50,42,balanced,0.3468208092485549,0.33635999569950537,0.3409354204954102
1.0,0.07,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.35581245985870263,0.33630534697660347,0.3422268956274775
1.0,0.03,5,200,50,42,balanced,0.3481053307642903,0.3352180032555945,0.35096492130519436
1.0,0.03,5,200,20,42,balanced,0.34104046242774566,0.33458722110980926,0.33857295422342565
0.0,0.07,3,200,20,42,balanced,0.3468208092485549,0.3342433244056064,0.3397900562562253
0.0,0.03,5,200,20,42,balanced,0.3378291586384072,0.3306095324318837,0.3318982949328869
1.0,0.07,3,200,50,42,balanced,0.3384714193962749,0.32966821129538304,0.3424634057852412
0.0,0.03,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.35260115606936415,0.32917098357933483,0.3364539931164452
0.0,0.07,5,200,20,42,balanced,0.34104046242774566,0.3281786843641812,0.3301686137727211
0.0,0.07,5,200,50,42,balanced,0.33397559409120103,0.3272367066118183,0.32828137932969514
1.0,0.07,5,200,20,42,balanced,0.3448940269749518,0.32593070315014355,0.3306540896826176
0.0,0.03,5,200,50,42,balanced,0.33397559409120103,0.32147155114079834,0.33608307262804954
1.0,0.07,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3371868978805395,0.3194420579167357,0.324243764701206
0.0,0.03,3,200,20,42,balanced,0.3281952472703918,0.3188473620890973,0.3333521360686735
1.0,0.03,3,200,20,42,balanced,0.3301220295439949,0.31549464759616885,0.33684395989892896
0.0,0.07,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.3397559409120103,0.307702077023102,0.32111411760029557
1.0,0.03,3,200,50,42,balanced,0.3346178548490687,0.3073083071627369,0.34882848242246256
0.0,0.03,3,200,50,42,balanced,0.33397559409120103,0.30615800990705494,0.34600790650149876
