method,accuracy
rf_best_fast,0.5709698137443803
hgb_best_fast,0.5163776493256262
ensemble_lr_svm,0.5093127809890816
rf5,0.48554913294797686
rf6,0.48233782915863843
logreg_multinomial,0.4598587026332691
svm_linear,0.45857418111753373
logreg_ovr,0.45664739884393063
momentum,0.3615928066795119
lgbm,0.357096981374438
gb,0.35581245985870263
random,0.3352601156069364
ma,0.23249839434810532
