date,daily_return_rate,overnight_return_rate,volatility_5,volatility_10,volatility_20,volatility_30,volume_5,body_length,return_3,return_5,return_10,rsi_14,macd,ma_ratio_5_21,return_3_volatility_5,nasdaq_return_1,nasdaq_return_5,relative_strength,target_label_next_day
1981-01-27,-0.0077514533975118,0.0,0.0143300083837427,0.0250473440868177,0.0287582037104112,0.0392522562738823,22202880.0,0.0011159999999999,-0.026614337401116,0.0039213205995825,0.0491770771366251,55.99999999999999,0.0021649004583794,1.0016138201485711,-0.0003813836780857,0.0053535296325317,-0.0077496403757139,-0.0131049830300435,down
1981-01-28,-0.0312480312480314,-0.0273420273420274,0.0156855744641636,0.0275697368182691,0.0290379547128516,0.0383904462924799,24653440.0,0.000558,-0.0534318251769776,-0.0461509831896285,0.0122440918965174,53.84615384615383,0.0016155005209323,0.9997027805331854,-0.0008381088725696,0.0009635989880507,-0.0036347177243366,-0.0322116302360821,down
1981-01-29,-0.036287962541458,-0.0322559667035182,0.0143200334912335,0.0290517806931726,0.0294091043745445,0.0363188082649483,26324480.0,0.000558,-0.0736388072763643,-0.0912491568038267,-0.0439971614734533,39.18918918918917,0.0007660333275373,0.988741565242486,-0.001054510186452,0.0025840288708633,0.0038555691175476,-0.038871991412321304,down
1981-01-30,-0.054397132809981,-0.0460294966671913,0.0183255213188639,0.033156209502922,0.0309873307575064,0.0377740434296574,33317760.0,0.001116,-0.1171871171871172,-0.1374029615950206,-0.0887111342336677,34.116927747675575,-0.0004869798106215,0.9690487438814892,-0.0021475150143087,-0.0003537867520279,0.0014681717287368,-0.0540433460579531,down
1981-02-02,-0.0575184750547116,-0.0530939769735799,0.020073408893924,0.0260046241728997,0.0327163248768386,0.0390501844354128,33143040.0,0.000558,-0.141127080126885,-0.1744146471907927,-0.1901092237144239,32.583613555363144,-0.0020418022999412,0.9447013072220832,-0.0028329015853925,-0.0238612874928376,-0.0154999667018734,-0.033657187561874004,up
1981-02-03,0.0375561575608689,0.0375561575608689,0.0385495793514777,0.0314531526376432,0.0334705185686066,0.0380219183571988,32233600.0,0.0,-0.0753162231669551,-0.1367171367171367,-0.133331927842079,37.499299968265234,-0.0028805971015457,0.9253568337983722,-0.0029034087214281,0.0024341044570774,-0.0183588358436537,0.0351220531037915,up
1981-02-04,0.0361967468335953,0.0361967468335953,0.0479487444416742,0.0337613085430928,0.0337162749377649,0.0375358433892626,32175360.0,0.0,0.0132734942433947,-0.0766151467198485,-0.1192302655611383,39.3932262911138,-0.003148842634409,0.9151255940304974,0.0006364473833245,0.0052180707706366,-0.0141864916767427,0.030978676062958697,flat
1981-02-05,0.0,0.0,0.0466283553629309,0.0330535477473411,0.0334819686316829,0.036662194606226,24980480.0,0.0,0.0751123151217376,-0.0418456785957966,-0.129276452511873,40.20544275500213,-0.0033231222668871,0.9101765740180472,0.0035023637216288,0.0088399336854008,-0.0080352312383523,-0.0088399336854008,flat
1981-02-06,0.0043665388528054,0.0043665388528054,0.0386109800061802,0.033412022705792,0.0308580261730219,0.0352184596156784,18515840.0,0.0,0.0407213401877948,0.0176979923245264,-0.1221367258301701,30.11983158803841,-0.0033772829787501,0.915562620965257,0.0015722908518158,0.0080493243929735,0.0003033090305557,-0.0036827855401680995,down
1981-02-09,-0.0521706610153644,-0.0434755508461369,0.0364926229686958,0.035718006160556,0.0326368635361089,0.031331105744707,17113600.0,0.001116,-0.0480319273808591,0.023472598475543,-0.1550360136970126,28.73504027025355,-0.003915382875751,0.9263011640637656,-0.0017528110163694,-0.0047506062798937,0.0198870806914872,-0.047420054735470694,flat
