method,accuracy
rf5,0.4881181759794477
rf6,0.47591522157996147
ma,0.4694926140012845
gb,0.4187540141297367
random,0.4039820166987797
hgb_best_fast,0.38792549775208734
rf_best_fast,0.35388567758509953
lgbm,0.3519588953114965
momentum,0.3416827231856134
svm_linear,0.3346178548490687
logreg_ovr,0.21644187540141296
logreg_multinomial,0.20680796403339757
