variant,fold,train_n,val_n,test_n,best_iteration,accuracy,macro_recall,min_recall,score
ridge_plus_regime_conf,1,343,61,404,0,0.39851485148514854,0.3917847377578921,0.2833333333333333,0.3734595137366086
ridge_plus_regime_conf,2,686,122,404,0,0.3465346534653465,0.3306921157158424,0.14678899082568808,0.3018327596125636
ridge_plus_regime_conf,3,1030,182,404,0,0.4034653465346535,0.4061606138941633,0.21804511278195488,0.36718987999196673
ridge_plus_regime_conf,4,1373,243,404,0,0.3712871287128713,0.3521397616468039,0.025,0.2962854928504768
ridge_plus_regime_conf,5,1717,303,404,0,0.3193069306930693,0.33018341307814997,0.07236842105263158,0.27318217348050594
