variant,fold,train_n,val_n,test_n,best_iteration,accuracy,macro_recall,min_recall,score
base,1,353,63,412,1,0.3762135922330097,0.3677480566501514,0.20634920634920634,0.3397010543813916
base,2,703,125,412,1,0.3179611650485437,0.31544796676375625,0.3007518796992481,0.31376534849324833
base,3,1054,186,412,1,0.33980582524271846,0.339276016258254,0.16279069767441862,0.30424385703371915
base,4,1404,248,412,17,0.3470873786407767,0.3531961425760428,0.16939890710382513,0.3133823135139662
base,5,1754,310,412,70,0.3907766990291262,0.3868482966309053,0.24166666666666667,0.35977617183716804
