variant,fold,train_n,val_n,test_n,best_iteration,accuracy,macro_recall,min_recall,score
base_plus_regime,1,343,61,404,1,0.4158415841584158,0.413466318667661,0.35555555555555557,0.40307179879061733
base_plus_regime,2,686,122,404,1,0.3316831683168317,0.33262047875144996,0.24,0.31362772778385084
base_plus_regime,3,1030,182,404,1,0.4430693069306931,0.44227010369027714,0.3488372093023256,0.4239831264328948
base_plus_regime,4,1373,243,404,23,0.36633663366336633,0.3662345870092349,0.14835164835164835,0.3227090226047833
base_plus_regime,5,1717,303,404,67,0.3811881188118812,0.38427698032961194,0.27631578947368424,0.361140311399561
