date,open,high,low,close,adj_close,volume,is_earnings_date,days_since_earnings,days_until_earnings,intraday_return,intraday_return_rate,intraday_label,daily_return,daily_return_rate,daily_label,daily_range,overnight_return,overnight_return_rate,overnight_label,volume_5,volume_10,volume_20,volatility_5,volatility_10,volatility_20,volatility_30,body_length,upper_shadow_length,lower_shadow_length,return_3,return_5,return_10,rsi_14,macd,ma_ratio_5_21,return_3_volatility_5,target_return_next_day,target_return_rate_next_day,target_label_next_day,target_return_next_3d,target_return_rate_next_3d,target_label_next_3d,label,nasdaq_return_1,nasdaq_return_5,relative_strength,log_return,open_log_return,high_log_return,low_log_return,close_log_return,log_return_3,log_return_5,log_volume_return,hl_log_range,oc_log_return,realized_vol_20,realized_vol_60,tb_vol,target_tb_next_day,regime_id,regime_confidence,regime_name
2012-04-19,21.436428,21.5975,20.875713,20.98,17.96464,834719200,0,86.0,5.0,-0.4564279999999989,-0.0212921667733075,down,-0.7464289999999991,-0.0343558069298916,down,0.0344035748331744,-0.2900010000000002,-0.0133478446918267,down,945042000.0,816472160.0,721129080.0,0.037702706331918,0.02666649573839,0.021885024835151,0.0207662006071303,0.4564279999999989,0.1610720000000007,0.1042869999999993,0.0126006030524068,-0.0567303838248594,-0.0590571690044102,43.20359127942725,0.347099176775334,0.9770337819145236,0.0004750768364899,-0.4422059999999987,-0.0246153554983567,down,-0.8305839999999982,-0.0462343804273282,down,down,-0.0078806818396885,-0.0157058432908929,-0.026475125090203097,-0.034959842774999306,-0.022242550503988934,-0.025340603186915,-0.030645163243024687,-0.034959842774999306,0.012521876101990204,-0.05840312398487245,-0.13412494888362758,0.033991141408652364,-0.021522114876770432,0.02184157552928095,0.01824040945791952,,,,,
2012-04-20,21.120714,21.236429,20.372143,20.463572,17.522434,1030985200,0,87.0,4.0,-0.6571420000000003,-0.0311136261775998,down,-0.5164280000000012,-0.0246152526215443,down,0.0422353438588336,0.1407139999999991,0.0067070543374642,up,979310080.0,855440880.0,741484800.0,0.0373315159383182,0.0261785578770584,0.0225009442422236,0.0211061491473097,0.6571420000000003,0.1157150000000015,0.0914289999999979,-0.0602263145809414,-0.053285451324512,-0.0957897048485226,42.14324131700194,0.2237345439064029,0.968722761947711,-0.0022483396226845,-0.0391459999999987,-0.0022340503608116,flat,1.132117000000001,0.0646095742178284,up,flat,-0.0023640782838429,-0.0036130635535973,-0.0222511743377014,-0.02492327312755105,-0.014837452760116498,-0.016859511188978438,-0.024417997406082748,-0.02492327312755105,-0.062116192897966244,-0.0547576581873161,0.21117474782230516,0.04154962762575664,-0.031607935244204695,0.022464519017134667,0.017180177025970737,,,,,
2012-04-23,20.378929,20.595358,19.879286,20.417856,17.483288,966529200,0,90.0,1.0,0.038927000000001,0.0019101592630309,flat,-0.0457159999999987,-0.0022340185770108,flat,0.0350708713001012,-0.0846429999999998,-0.0041362768924213,flat,962458560.0,892340120.0,768286820.0,0.0330272658036665,0.0258868612083339,0.0224861937842,0.0211077113999633,0.038927000000001,0.1775020000000005,0.4996429999999989,-0.0602295480771367,-0.0145313013042324,-0.1014256353834305,34.49003972634813,0.120884799705319,0.9680484750508608,-0.0019892172935783,-0.3492320000000006,-0.0199751900214651,down,1.100922999999998,0.0629700202845138,up,down,-0.0099985003876779,-0.0060065425506797,0.0077644818106671004,-0.0022365177192926744,-0.03575279019220501,-0.030652345465042252,-0.024490143345673676,-0.0022365177192926744,-0.062119633621842966,-0.014637914744853403,-0.06455861855654632,0.03538742550638794,0.0019083372287075242,0.022451473663236354,0.017162860874350438,,,,,
2012-04-24,20.093214,20.274643,19.821428,20.01,17.134056,1076149200,1,0.0,91.0,-0.0832139999999981,-0.0041413981854768,flat,-0.4078559999999989,-0.0199754567766566,down,0.0226494252873563,-0.3246420000000007,-0.0158999064348382,down,972582800.0,910982520.0,792307180.0,0.0141751045244106,0.0260649325548121,0.0223076934818939,0.0213705923436446,0.0832139999999981,0.1814290000000014,0.1885720000000006,-0.0462345090562439,-0.08105625717566,-0.1084590527851944,27.2924653444302,0.0063913898645182,0.9544995352663416,-0.000655378998507,1.5204950000000004,0.0887411013480988,up,1.3064229999999988,0.0762471536220028,up,up,-0.0029792972987588,-0.0266923343735264,-0.016996159477897798,-0.020177663525665412,-0.01411932877160993,-0.015694718641917405,-0.0029147103480919867,-0.020177663525665412,-0.04733745437250896,-0.08453037414292429,0.10743288241618387,0.022607417212562576,-0.004149997525347872,0.022267232351871696,0.017446567704071582,,,,,
2012-04-25,21.987143,22.071428,21.642857,21.785713,18.654551,905777600,0,1.0,90.0,-0.2014299999999984,-0.0091612630162999,down,1.7757129999999997,0.0887412793603198,up,0.019672112636387,1.977142999999998,0.0988077461269364,up,962832080.0,931898800.0,807239580.0,0.0501343782623954,0.041063726524765,0.0303141188860412,0.026303960148981,0.2014299999999984,0.0842850000000012,0.1428560000000018,0.0646094924190165,0.0027286582622483,-0.0258703989029651,46.36303082662143,0.0582680586232697,0.9548198336023324,0.0032391567322763,-0.0703400000000016,-0.003770661647123,flat,-0.795727000000003,-0.0426559181188549,down,flat,0.0229706182175262,-0.0006003953186399,0.06577066114279359,0.08502223938011566,0.09007572731286295,0.08491292943755502,0.08791189455104886,0.08502223938011566,0.06260805813515762,0.0027249422326073723,-0.17235059134886654,0.019608452099068474,-0.009203485458095049,0.029750299811715147,0.020334248335653483,,,,,
2012-04-26,21.938213,21.953215,21.504642,21.703571,18.584211,536068400,0,2.0,89.0,-0.2346420000000009,-0.0106955840022157,down,-0.082142000000001,-0.0037704526815349,flat,0.0206681656212242,0.1524999999999998,0.0070000004131147,up,903101920.0,924071960.0,801269980.0,0.0463899945589843,0.0410506612884963,0.0303012875040392,0.0254725832608278,0.2346420000000009,0.015001999999999,0.1989289999999997,0.0629701277156622,0.034488608198284,-0.0241983276072491,43.15088342670854,0.0916955106864172,0.961995763816444,0.0029211838821081,-0.1437319999999999,-0.0077340921279897,down,-0.781960999999999,-0.0420766316094882,down,down,0.0069250124341586,0.0143139448554368,-0.0106954651156935,-0.0037775787562375207,-0.0022278713114269877,-0.005370323348619976,-0.006406650487646104,-0.0037775787562375207,0.06106699709821247,0.03390720625136877,-0.5245320356646701,0.020644779238094574,-0.010753192902906243,0.02973070817474907,0.020362161826225793,,,,,
2012-04-27,21.609644,21.649286,21.446428,21.535713,18.440479,406722400,0,3.0,88.0,-0.0739309999999981,-0.0034212039772611,flat,-0.1678579999999989,-0.007734118961345,down,0.0094196091859136,-0.0939270000000007,-0.0043277210003828,flat,778249360.0,878779720.0,791194180.0,0.0440098228357982,0.0400848286350381,0.0302182328231393,0.0254832128512789,0.0739309999999981,0.0396420000000006,0.0892850000000002,0.0762475262368815,0.0523926614571494,-0.0036845564791991,41.33777008636779,0.1034497650300636,0.9729916704816526,0.003355640121353,-0.5816550000000014,-0.031542293451271,down,-0.5204880000000003,-0.0282252971845254,down,down,0.0060938117607269,0.0229132300550951,-0.013827930722071901,-0.00776418236903309,-0.01509030559402369,-0.01394112335400699,-0.0027107141054329986,-0.00776418236903309,0.07348047825484517,0.05106629700988715,-0.276130875427004,0.009414369989520971,-0.0034270696779150098,0.029648384627305725,0.020414960209853242,,,,,
2012-04-30,21.35,21.371429,20.821428,20.856428,17.858824,506144800,0,6.0,85.0,-0.4935720000000003,-0.0231181264637002,down,-0.6792850000000001,-0.0315422572728379,down,0.0263708147914876,-0.1857129999999998,-0.008623489735399,down,686172480.0,824315520.0,779949520.0,0.0479861623603144,0.0390436864182362,0.0308168763673876,0.026179275722916,0.4935720000000003,0.0214289999999977,0.0350000000000001,-0.0426557074354188,0.0214798262853848,0.0066363951534367,39.05140864707162,0.0572920467519466,0.9790262187141529,-0.00204688370259,-0.0565739999999976,-0.003167845766328,flat,-0.066049999999997,-0.0036984518129523,flat,flat,-0.0074416278226772,0.0255551036030929,-0.024100629450160702,-0.03205042875743258,-0.012087956853768844,-0.012917538151352659,-0.02957545596933686,-0.03205042875743258,-0.04359218988270345,0.02125238597174698,0.21869190502559022,0.026072287807505055,-0.023389541581579215,0.030270547030332932,0.020940883452079964,,,,,
2012-05-01,20.889286,21.312857,20.758215,20.790358,17.80225,610999200,0,7.0,84.0,-0.0989279999999972,-0.0047358248625633,flat,-0.0660699999999998,-0.0031678483007732,flat,0.0266778474906493,0.0328579999999973,0.0015754375581474,flat,593142480.0,782862640.0,780581900.0,0.0463473150537895,0.0349317744576276,0.0298405983471117,0.0257081928856516,0.0989279999999972,0.4235710000000026,0.0321430000000013,-0.0420766241647514,0.0389984007996002,-0.0452189207807116,39.12657084715488,0.0152051501323171,0.9875936165186862,-0.0019501385565636,0.1177409999999987,0.0066138269039025,up,-0.5162089999999999,-0.0289968402870423,down,up,0.0013392487560597,0.0299972450096506,-0.0045070970568329,-0.0031728765541725323,-0.021815343723305958,-0.0027444309019579727,-0.0030405767890266944,-0.0031728765541725323,-0.04298748768063784,0.03825717294324004,0.18827285514502634,0.026368433694573843,-0.004747074412445671,0.029279183625336772,0.02094776752820172,,,,,
2012-05-02,20.722857,20.978571,20.673571,20.927856,17.919991,427389200,0,8.0,83.0,0.2049989999999972,0.0098924101054211,up,0.1374979999999972,0.0066135465295978,up,0.0145738770373802,-0.067501,-0.0032467454384383,flat,497464800.0,730148440.0,760223380.0,0.0142220889254847,0.0350956139002795,0.0295601366849548,0.0256921389395822,0.2049989999999972,0.0507150000000002,0.0492860000000021,-0.0282255340234151,-0.0393770449468421,-0.0367558331836309,40.9415355519819,-0.0069736908104971,0.982175976348772,-0.0004014260548503,-0.1272169999999981,-0.007099166511858,down,-0.5045879999999983,-0.0281578266417655,down,down,0.0030848521625579,0.0099748867065225,0.0035286943670399,0.0065917729782887236,-0.007999101965073585,-0.015809017476275056,-0.004085950712377606,0.0065917729782887236,-0.028631532333316452,-0.040173293458587084,-0.3574005756416554,0.01464536693067617,0.009843800530916963,0.028990391905380105,0.020938976738267927,,,,,
